Country_Name,country_id,Avg_Length,RRF_Score,Qwen3-8B_score,BGE-M3_score,Jina-v3_score,OpenAI_score,Final_Rank
Vanuatu,Vanuatu,124.0,0.0247607684225622,0.38799531199895176,0.3718470851903418,0.14872195759813014,0.23550254585881653,105
Costa Rica,Costa Rica,701.25,0.02475610661740108,0.39927077552144985,0.37295690212471616,0.1675426752317318,0.20827031899571208,106
Cape Verde,Cape Verde,1644.25,0.024432227793953053,0.3855220456252576,0.37218174041101976,0.16756021666940674,0.2223423998896259,107
Germany,Germany,1481.0,0.024371379881360136,0.3712081190271378,0.382555498989139,0.15778960957703744,0.22112238391888,108
San Marino,San Marino,711.0,0.023871248103984676,0.3885097273285378,0.37735972450863053,0.16321262279969811,0.2030416651327273,109
Saint Christopher and Nevis,Saint Christopher and Nevis,141.0,0.023777662597462796,0.395472383839828,0.3726377707644062,0.15989911244741123,0.20699130791245177,110
Jamaica,Jamaica,401.25,0.02374033213901925,0.3940368074113788,0.3624367791896403,0.15473266085492635,0.22356976928228472,111
Cameroon,Cameroon,91.0,0.023556949405700547,0.39845977310633074,0.37411686758589685,0.15793718080449323,0.19626664455328036,112
Kenya,Kenya,718.0,0.02348637007090943,0.3741035646619414,0.3710286019835325,0.16352558612602125,0.21868735139329512,113
Iraq,Iraq,70.75,0.02329734674045213,0.3852503220437792,0.37206985901925255,0.16656748016897635,0.20480634233620315,114
Switzerland,Switzerland,443.25,0.02293702807902153,0.36300157388648163,0.3797106955036217,0.14675254502061347,0.20960919425948416,115
Uganda,Uganda,343.5,0.02290570656448064,0.3805462087775299,0.361016496894106,0.16014658589271105,0.22105050929798464,116
Ethiopia,Ethiopia,232.0,0.022833113545343446,0.4026195981080571,0.3609967680091155,0.15027803526610298,0.19875238720551738,117
Japan,Japan,459.75,0.022825378719028077,0.39919786072845864,0.36734922709984896,0.15207321322078243,0.19782066102874413,118
Colombia,Colombia,794.75,0.022498409665061697,0.3812111965952365,0.3742793693572285,0.138770650132858,0.20746703962493873,119
Bolivia,Bolivia,367.25,0.022401164385692136,0.36834261104496085,0.3671282309487293,0.1608589621657031,0.21291401349264366,120
Uruguay,Uruguay,998.75,0.022397537766436396,0.40380006019293446,0.36773312626735427,0.1243625932178842,0.1812120015858395,121
Bulgaria,Bulgaria,3783.75,0.022335019301959778,0.34804597433802975,0.3794882952276904,0.1525282116600953,0.198882747029909,122
Rwanda,Rwanda,230.25,0.022101861483864713,0.36877419069232176,0.38275940988434176,0.13970833331911917,0.17684158515862947,123
Grenada,Grenada,312.5,0.02208890136465791,0.3782100062987587,0.3678198179178603,0.1580316343687615,0.20203158201673746,124
Denmark,Denmark,799.25,0.022027540487357757,0.37962289775911556,0.3705827376239358,0.14872854017570508,0.20195191086815772,125
Myanmar,Myanmar,53.5,0.022009673816879145,0.39345731648326676,0.3646323600654594,0.13321667757306818,0.205667860760442,126
Jordan,Jordan,52.25,0.021818566158784802,0.389326168263004,0.36366348763909817,0.1607100172250239,0.17355453420614297,127
Thailand,Thailand,380.75,0.02170598933135591,0.40374115070792166,0.3501658647387937,0.11930884182734607,0.19016967348351962,128
Andorra,Andorra,164.75,0.021645637680473746,0.38654680050792367,0.36721925125846605,0.13918102361914597,0.20142247927997187,129
Ghana,Ghana,107.25,0.021589300026716537,0.3689454648650085,0.3549941923521386,0.14248452675423734,0.21753744785992574,130
Guyana,Guyana,343.75,0.02152598057229617,0.3714509793235333,0.3546604153397427,0.15124918907784138,0.21074645256468028,131
Eswatini,Eswatini,387.5,0.021499971755227443,0.3645767955395859,0.358904311968797,0.1481354350505812,0.21441226380499706,132
Netherlands,Netherlands,655.5,0.021298009533303654,0.3799473121441988,0.36496038265582154,0.13490972582296432,0.2052947853280295,133
Bhutan,Bhutan,316.0,0.021274685022955875,0.38854679554997984,0.36217370339394395,0.14280881630256476,0.18112488102121013,134
Djibouti,Djibouti,117.75,0.021245083926397474,0.38800490120186193,0.3504823587462353,0.15260216596864223,0.1874533373734854,135
Bangladesh,Bangladesh,195.25,0.021227794425718885,0.3751095227622723,0.3620386206401135,0.13646574005900652,0.20750440691192723,136
South Africa,South Africa,1407.75,0.021105553224659367,0.37075165246164266,0.3652236764580941,0.13637052891527704,0.20549598645263356,137
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,576.25,0.0210338899420429,0.3779662244558995,0.3585956795263151,0.14340193257078487,0.20148450187471917,138
Turkey,Turkey,47.75,0.021003592491642003,0.3882421164397197,0.3546294418615798,0.1373326938927587,0.19081808700978012,139
